epoch,defect_rate,mean_error,max_error,safety_events,malfunction_rate
1.0,59.583333333333336,0.048852309584617615,0.1159430742263794,186.0,0.0
2.0,19.166666666666668,0.03409808874130249,0.08944529294967651,179.0,0.0
3.0,9.166666666666666,0.029552821069955826,0.09076464176177979,172.0,0.0
4.0,2.9166666666666665,0.024755502119660378,0.06726722419261932,156.0,0.0
5.0,5.0,0.022463230416178703,0.06569929420948029,155.0,0.0
6.0,3.75,0.02187991514801979,0.06440731883049011,162.0,0.0
7.0,1.6666666666666667,0.023483918979763985,0.06908371299505234,156.0,0.0
8.0,2.083333333333333,0.022343870252370834,0.06489579379558563,154.0,0.0
9.0,2.9166666666666665,0.021276598796248436,0.06951212882995605,163.0,0.0
10.0,2.083333333333333,0.020930608734488487,0.06137882173061371,157.0,0.0
11.0,1.6666666666666667,0.02053060382604599,0.07027800381183624,134.0,0.0
12.0,2.083333333333333,0.02074073813855648,0.06404098123311996,150.0,0.0
