epoch,defect_rate,mean_error,max_error,safety_events,malfunction_rate
1.0,2.083333333333333,0.027264505624771118,0.07312188297510147,94.0,0.0
2.0,2.5,0.023440737277269363,0.06465232372283936,98.0,0.0
3.0,2.083333333333333,0.022967971861362457,0.06970736384391785,98.0,0.0
4.0,1.25,0.020604567602276802,0.063640296459198,95.0,0.0
5.0,0.8333333333333334,0.019704271107912064,0.07684246450662613,87.0,0.0
6.0,0.8333333333333334,0.01891602762043476,0.06623093783855438,94.0,0.0
7.0,1.25,0.019651655107736588,0.06504678726196289,93.0,0.0
8.0,1.25,0.01943410187959671,0.05394988879561424,84.0,0.0
9.0,0.8333333333333334,0.01790100336074829,0.047988828271627426,91.0,0.0
10.0,0.8333333333333334,0.018460026010870934,0.05949663743376732,96.0,0.0
11.0,0.8333333333333334,0.01737024262547493,0.046703606843948364,83.0,0.0
12.0,1.25,0.01809418760240078,0.05604080483317375,88.0,0.0
