stage,reward,success_rate,final_distance_m,collisions,steps,safety_cost,safety_limit,safety_violation,energy_cost,smoothness_cost,timeout_rate,drop_rate
before_rl,-33.270793395148075,0.0,0.30124637484550476,0.0,120.0,1.4855137360474324,1.2,0.28551373604743246,30.584059432148933,4.563875790074235,100.0,0.0
after_rl,17.414582638335283,100.0,0.0749366506934166,0.0,109.0,0.5782151321067065,1.2,0.0,4.725000401092984,8.06191873474745,0.0,0.0
